Identifiant,Code Postal,Localité,Horaires Lundi,Horaires Mardi,Horaires Mercredi,Horaires Jeudi,Horaires Vendredi,Horaires Samedi,Horaires Dimanche,Accès sur rendezvous,Téléphone,Adresse (Structure),Code Officiel Département
416,79000,Niort,09:30-12:30/13:30-17:30,09:30-12:30/13:30-17:30,09:30-12:30/13:30-17:30,09:30-12:30/13:30-17:30,09:30-12:30/13:30-17:30,fermé,fermé,oui,33627620475,84 Route d'Aiffres,Nouvelle-Aquitaine
1440,35160,Montfort-sur-Meu,9h-13h / 14h-18h,9h-13h / 14h-18h,9h-13h / 14h-18h,9h-13h / 14h-18h,9h-13h / 14h-18h,fermé,fermé,non précisé,33805690821,1 Route d'Iffendic,Bretagne
1365,23000,Sainte-Feyre,10:00-12:00,10:00-12:00,10:00-12:00,10:00-12:00,10:00-12:00,,fermé,oui,555514321,4 les Bains,Nouvelle-Aquitaine
1004,93700,Drancy,9h-17h,9h-17h,9h-17h,9h-17h,9h-17h,9h-17h,fermé,oui,06 32 82 33 22,120 rue Sadi Carnot,Île-de-France
411,35500,Vitré,9h00-13h00 / 14h00-18h00,9h00-13h00 / 14h00-18h00,9h00-13h00 / 14h00-18h00,9h00-13h00 / 14h00-18h00,9h00-13h00 / 14h00-18h00,fermé,fermé,non précisé,33805690821,Chemin du Feil,53
377,58000,Nevers,09:00-12:00/14:00-17:00,09:00-12:00/14:00-17:00,09:00-12:00/14:00-17:00,09:00-12:00/14:00-17:00,09:00-12:00/14:00-17:00,fermé,fermé,oui,33386937408,1 Avenue Patrick Guillot,Bourgogne-Franche-Comté
903,81200,Mazamet,fermé,14:00-18:00,14:00-18:00,9:00-13:00 & 13:30-17:30,fermé,fermé,fermé,oui,33809541919,12 Boulevard Raymond d'Hautpoul,Occitanie
1299,40420,Labrit,fermé,8h30 - 12h30/  13h30 - 15h30,8h30 - 12h30/  13h30 - 15h30,8h30 - 12h30/  13h30 - 15h30,8h30 - 12h30/  13h30 - 15h30,8h30 - 12h30/  13h30 - 15h30,fermé,oui,05 58 51 09 39,Place de l'Eglise - Salle des fêtes,Nouvelle-Aquitaine
1458,94800,Villejuif,9h-16h30,9h-16h30,9h-16h30,9h-16h30,9h-16h30,fermé,fermé,non précisé,33145596404,23 Avenue Paul Vaillant-Couturier,Île-de-France
1503,30900,Nîmes,fermé,fermé,fermé,fermé,fermé,fermé,fermé,oui,,123 Avenue de la Bouvine,Occitanie
1508,75020,Paris,9h30 - 16h30,9h30 - 16h30,9h30 - 16h30,9h30 - 16h30,9h30 - 16h30,fermé,fermé,oui,01 45 65 71 36,6 Rue Pierre Bayle,Île-de-France
818,63600,Ambert,13:30-17:30,13:30-17:30,13:30-17:30,13:30-17:30,13:30-17:30,fermé,fermé,oui,33622923327,Salle Coral Rue Pierre de Coubertin,Auvergne-Rhône-Alpes
679,31200,Toulouse,8:00-12:00,8:00-12:00,8:00-12:00,8:00-12:00,8:00-12:00,fermé,fermé,oui,33809541919,place Stéphane Hessel,Occitanie
949,29610,Garlan,fermé,fermé,fermé,fermé,fermé,fermé,fermé,non précisé,,1980 Langolvas,Bretagne
1150,13210,Saint-Rémy-de-Provence,fermé,fermé,8h15-16h30,8h15-16h30,8h15-16h30,8h15-16h30,fermé,oui,04 90 92 99 88,Av du Mal de Lattre de Tassigny,Provence-Alpes-Côte d'Azur
1145,2820,Saint-Erme-Outre-et-Ramecourt,,,,,,fermé,fermé,oui,33686974679,5 Route de Liesse,Hauts-de-France
845,13140,Miramas,13h/17h,13h/17h,13h/17h,13h/17h,13h/17h,fermé,fermé,oui,33490172677,Rue des Lauriers,Provence-Alpes-Côte d'Azur
693,7270,Lamastre,14:00-18:00,08:00-12:00/13:30-17:30,08:00-12:00/14:00-18:00,09:00-12:00,08:00-12:00,fermé,fermé,oui,33475667799,1 Place Victor Hugo,Auvergne-Rhône-Alpes
669,38320,Eybens,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,fermé,oui,33476003134,141 Avenue Jean Jaurès,Auvergne-Rhône-Alpes
746,34980,Saint-Clément-de-Rivière,9:00-12:00/ 14:00-17:00,9:00-12:00/ 14:00-17:00,9:00-12:00/ 14:00-17:00,9:00-12:00/ 14:00-17:00,9:00-12:00/ 14:00-17:00,fermé,fermé,oui,33809541919,96 avenue de Saint-Sauveur,Occitanie
1328,36800,Saint-Gaultier,fermé,fermé,fermé,fermé,fermé,fermé,fermé,non précisé,33641946892,impasse De la Plaine des Chézea,Centre-Val de Loire
1209,97150,SAINT MARTIN,,fermé,10:00-12:00,10:00-12:00,10:00-12:00,10:00-12:00,fermé,fermé,https://partners.doctolib.fr/hopital-public/saint-martin/centre-de-vaccination-covid-19-ch-louis-constant-fleming-saint-martin?pid=practice-166932&enable_cookies_consent=1,-63.0693,
1404,24270,Lanouaille,fermé,fermé,fermé,fermé,fermé,fermé,fermé,oui,33553526066,4 Allée des Tilleuls,Nouvelle-Aquitaine
1419,18140,Sancergues,fermé,fermé,fermé,fermé,fermé,fermé,fermé,oui,,8 Rue Hubert Gouvernel,Centre-Val de Loire
1254,13190,Allauch,fermé,fermé,14h - 17h,14h - 17h,fermé,fermé,fermé,oui,04 22 46 05 30,Chemin des Mille Ecus,Provence-Alpes-Côte d'Azur
687,28400,Nogent-le-Rotrou,en attente d'informations,en attente d'informations,en attente d'informations,en attente d'informations,en attente d'informations,fermé,fermé,oui,33805021400,5 Avenue Camille Gaté,Centre-Val de Loire
937,88500,Mirecourt,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,fermé,fermé,oui,33329370077,1115 Avenue René Porterat,Grand Est
662,15200,Mauriac,13:00-18:00,13:00-18:00,13:00-18:00,13:00-18:00,13:00-18:00,,,oui,33415570012,2 Rue du 8 Mai 1945,Auvergne-Rhône-Alpes
36,20100,Sartène,A confirmer,A confirmer,A confirmer,A confirmer,A confirmer,A confirmer,A confirmer,oui,33495779513,355 Cacciabello,Corse
857,95300,Pontoise,13h30-16h30,13h30-16h30,13h30-16h30,13h30-16h30,13h30-16h30,fermé,fermé,oui,01.34.43.34.44,2 Rue Rodin,Île-de-France
379,60100,Creil,09:00-12:00/13:00-16:30,09:00-12:00/13:00-16:30,09:00-12:00/13:00-16:30,09:00-12:00/13:00-16:30,09:00-12:00/13:00-16:30,fermé,fermé,oui,33392043471,71 Boulevard Laennec,Hauts-de-France
